Date,P,D,E,CPI,Fraction,Rate_GS10,Real_Price,Real_Dividend,Real_Total_Return_Price,Real_Earnings,Real_Scaled_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Monthly_Total_Returns,Real_Total_Returns,Annualized_Stock_Real_Return_10Y,Annualized_Bonds_Real_Return_10Y,Real_Excess_Annualized_Returns_10Y
1871.01,4.44,0.26,0.4,12.46,1871.04,5.32,114.04,6.68,114.04,10.27,10.27,,,,1.0,1.0,13.06%,9.25%,3.81%
1871.02,4.5,0.26,0.4,12.84,1871.13,5.32,112.16,6.48,112.7,9.97,10.02,,,,1.0,0.97,13.09%,9.46%,3.62%
1871.03,4.61,0.26,0.4,13.03,1871.21,5.33,113.22,6.39,114.3,9.82,9.92,,,,1.0,0.96,13.10%,9.62%,3.48%
1871.04,4.74,0.26,0.4,12.56,1871.29,5.33,120.82,6.63,122.53,10.2,10.34,,,,1.0,1.0,12.21%,9.10%,3.11%
1871.05,4.86,0.26,0.4,12.27,1871.38,5.33,126.76,6.78,129.13,10.43,10.63,,,,1.0,1.03,12.26%,8.95%,3.31%
1871.06,4.82,0.26,0.4,12.08,1871.46,5.34,127.7,6.89,130.67,10.6,10.84,,,,1.0,1.05,12.31%,8.77%,3.54%
1871.07,4.73,0.26,0.4,12.08,1871.54,5.34,125.32,6.89,128.82,10.6,10.89,,,,1.0,1.06,12.00%,8.66%,3.34%
1871.08,4.79,0.26,0.4,11.89,1871.63,5.34,128.94,7.0,133.14,10.77,11.12,,,,1.0,1.08,11.19%,8.27%,2.93%
1871.09,4.84,0.26,0.4,12.18,1871.71,5.35,127.23,6.83,131.96,10.51,10.91,,,,1.0,1.06,11.00%,8.10%,2.90%
1871.1,4.59,0.26,0.4,12.37,1871.79,5.35,118.8,6.73,123.8,10.35,10.79,,,,1.0,1.05,11.48%,8.17%,3.31%
1871.11,4.64,0.26,0.4,12.37,1871.88,5.35,120.1,6.73,125.74,10.35,10.84,,,,1.0,1.05,11.53%,8.26%,3.27%
1871.12,4.74,0.26,0.4,12.65,1871.96,5.36,119.92,6.58,126.12,10.12,10.64,,,,1.0,1.03,11.21%,8.50%,2.71%
1872.01,4.86,0.26,0.4,12.65,1872.04,5.36,122.95,6.66,129.9,10.18,10.76,,,,1.0,1.04,10.77%,8.49%,2.28%
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,123.46,6.75,131.03,10.25,10.87,,,,1.0,1.04,10.38%,8.39%,1.98%
1872.03,5.04,0.27,0.41,12.84,1872.21,5.4,125.62,6.73,133.92,10.16,10.83,,,,1.0,1.03,10.17%,8.55%,1.62%
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,126.3,6.66,135.23,10.0,10.7,,,,1.0,1.01,10.01%,8.69%,1.32%
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,126.3,6.75,135.84,10.06,10.82,,,,1.0,1.01,9.78%,8.59%,1.19%
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,125.99,6.88,136.12,10.19,11.01,,,,1.0,1.02,9.65%,8.41%,1.24%
1872.07,5.1,0.28,0.42,12.84,1872.54,5.47,127.11,7.06,137.97,10.41,11.29,,,,1.0,1.04,10.25%,8.35%,1.90%
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,124.69,7.09,135.98,10.39,11.33,,,,1.0,1.04,10.68%,8.32%,2.36%
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,121.57,7.12,133.23,10.38,11.37,,,,1.0,1.03,11.37%,8.70%,2.67%
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,124.8,7.36,137.43,10.67,11.75,,,,1.0,1.06,10.87%,8.56%,2.31%
1872.11,4.95,0.3,0.43,13.13,1872.88,5.54,120.69,7.23,133.58,10.42,11.54,,,,1.0,1.03,10.86%,8.98%,1.88%
1872.12,5.07,0.3,0.43,12.94,1872.96,5.56,125.44,7.42,139.51,10.64,11.83,,,,1.0,1.05,10.59%,8.92%,1.67%
1873.01,5.11,0.3,0.43,12.94,1873.04,5.58,126.43,7.48,141.31,10.7,11.96,,,,1.01,1.05,10.44%,8.91%,1.52%
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,124.67,7.38,140.03,10.53,11.83,,,,1.01,1.03,10.24%,9.02%,1.21%
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,123.7,7.44,139.64,10.59,11.96,,,,1.01,1.04,10.56%,9.10%,1.46%
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,122.0,7.5,138.43,10.65,12.09,,,,1.01,1.05,11.04%,9.18%,1.86%
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,124.94,7.73,142.49,10.95,12.49,,,,1.01,1.07,10.69%,9.03%,1.66%
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,126.94,8.03,145.54,11.34,13.01,,,,1.01,1.11,10.93%,9.00%,1.93%
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,126.69,8.09,146.02,11.41,13.15,,,,1.01,1.12,11.00%,9.20%,1.80%
