Date,P,D,E,CPI,Fraction,Rate_GS10,Real_Price,Real_Dividend,Real_Total_Return_Price,Real_Earnings,Real_Scaled_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Monthly_Total_Returns,Real_Total_Returns,Annualized_Stock_Real_Return_10Y,Annualized_Bonds_Real_Return_10Y,Real_Excess_Annualized_Returns_10Y,Year,Dividend_Ratio,Annual_Return,Total_Return
1924.12,10.16,0.55,0.93,17.3,1924.96,3.88,188.01,10.18,"3,226.86",17.21,295.37,9.31,13.41,12.39%,1.0,6.82,7.27%,7.09%,0.18%,1924,5.413385826771654,18.83040935672513,24.243795183496786
1925.12,12.46,0.6,1.25,17.9,1925.96,3.7,222.85,10.73,"4,027.92",22.36,404.09,11.15,15.79,10.96%,1.0,6.95,8.72%,7.02%,1.70%,1925,4.815409309791332,22.637795275590555,27.453204585381886
1926.12,13.49,0.69,1.24,17.7,1926.96,3.37,243.99,12.48,"4,643.27",22.43,426.81,13.01,17.68,8.63%,1.01,7.48,10.35%,6.34%,4.01%,1926,5.114899925871015,8.26645264847512,13.381352574346135
1927.12,17.46,0.77,1.11,17.3,1927.96,3.33,323.1,14.25,"6,450.73",20.54,410.1,18.65,24.1,4.39%,1.0,7.94,2.46%,5.79%,-3.33%,1927,4.410080183276059,29.429206819866582,33.839287003142644
1928.12,23.15,0.85,1.38,17.1,1928.96,3.58,433.41,15.91,"9,014.58",25.84,537.37,25.3,31.47,0.73%,1.0,8.14,1.41%,6.27%,-4.86%,1928,3.6717062634989204,32.58877434135166,36.26048060485058
1929.12,21.4,0.97,1.61,17.2,1929.96,3.32,398.31,18.05,"8,585.22",29.97,645.9,22.01,26.57,0.29%,1.0,8.57,2.11%,6.12%,-4.01%,1929,4.532710280373832,-7.559395248380129,-3.026684968006297
1930.12,15.51,0.98,0.97,16.1,1930.96,3.34,308.41,19.49,"6,969.37",19.29,435.87,16.06,19.35,1.05%,1.0,9.45,3.13%,5.47%,-2.34%,1930,6.3185041908446165,-27.523364485981304,-21.204860295136687
1931.12,8.44,0.82,0.61,14.6,1931.96,3.65,185.07,17.98,"4,474.76",13.38,323.41,9.31,11.61,5.41%,1.0,10.5,5.58%,3.19%,2.39%,1931,9.715639810426541,-45.58349451966473,-35.86785470923819
1932.12,6.82,0.5,0.41,13.1,1932.96,3.34,166.67,12.22,"4,436.29",10.02,266.7,8.26,11.03,6.26%,1.01,12.44,6.43%,0.78%,5.66%,1932,7.331378299120233,-19.194312796208525,-11.862934497088292
1933.12,9.97,0.44,0.44,13.2,1933.96,3.14,241.8,10.67,"6,798.49",10.67,300.03,12.28,16.71,2.34%,1.0,12.98,4.15%,0.30%,3.85%,1933,4.413239719157472,46.18768328445748,50.60092300361495
1934.12,9.26,0.45,0.49,13.4,1934.96,2.82,221.23,10.75,"6,509.50",11.71,344.46,11.64,15.92,3.25%,1.0,13.54,6.29%,-0.02%,6.30%,1934,4.859611231101512,-7.121364092276838,-2.261752861175326
1935.12,13.04,0.47,0.76,13.8,1935.96,2.66,302.51,10.9,"9,292.59",17.63,541.59,16.16,21.87,0.96%,1.0,13.69,5.70%,0.03%,5.67%,1935,3.604294478527607,40.82073434125269,44.425028819780294
1936.12,17.06,0.72,1.02,14.0,1936.96,2.68,390.11,16.46,"12,434.53",23.32,743.45,21.13,27.9,-0.26%,1.0,13.84,0.02%,-1.54%,1.56%,1936,4.220398593200469,30.828220858895694,35.04861945209616
1937.12,11.02,0.8,1.13,14.4,1937.96,2.57,245.0,17.79,"8,229.08",25.12,843.82,13.01,16.93,3.30%,1.0,13.95,3.81%,-2.38%,6.18%,1937,7.259528130671507,-35.40445486518171,-28.144926734510207
1938.12,12.69,0.51,0.64,14.0,1938.96,2.38,290.18,11.66,"10,367.31",14.63,522.86,15.76,20.56,1.99%,1.0,14.96,1.81%,-3.02%,4.83%,1938,4.0189125295508275,15.154264972776765,19.173177502327594
1939.12,12.37,0.62,0.9,14.0,1939.96,2.22,282.87,14.18,"10,575.72",20.58,769.45,16.28,20.78,1.88%,1.0,15.51,3.39%,-2.95%,6.33%,1939,5.012126111560226,-2.5216706067769934,2.490455504783233
1940.12,10.53,0.67,1.05,14.1,1940.96,1.97,239.08,15.21,"9,485.83",23.84,945.88,13.91,17.47,3.90%,1.0,16.09,6.50%,-3.82%,10.32%,1940,6.362773029439698,-14.874696847210988,-8.51192381777129
1941.12,8.76,0.71,1.16,15.5,1941.96,2.42,180.93,14.66,"7,702.09",23.96,"1,019.91",10.09,12.76,8.10%,1.0,14.37,10.71%,-3.14%,13.85%,1941,8.105022831050228,-16.80911680911681,-8.704093978066581
1942.12,9.52,0.59,1.03,16.9,1942.96,2.47,180.34,11.18,"8,276.22",19.51,895.43,9.62,12.5,10.51%,1.0,13.45,11.66%,-2.43%,14.09%,1942,6.197478991596639,8.675799086757996,14.873278078354634
1943.12,11.48,0.61,0.94,17.4,1943.96,2.48,211.22,11.22,"10,209.00",17.29,835.93,10.74,14.07,9.64%,1.0,13.38,9.37%,-1.98%,11.35%,1943,5.313588850174216,20.588235294117663,25.90182414429188
1944.12,13.1,0.64,0.93,17.8,1944.96,2.38,235.61,11.51,"11,977.33",16.73,850.3,11.64,15.41,9.09%,1.0,13.52,12.02%,-1.70%,13.73%,1944,4.885496183206107,14.111498257839706,18.996994441045814
1945.12,17.33,0.66,0.96,18.2,1945.96,2.21,304.84,11.61,"16,181.81",16.89,896.4,15.02,19.82,7.26%,1.0,13.74,11.97%,-2.01%,13.98%,1945,3.808424697057127,32.290076335877856,36.09850103293498
1946.12,15.13,0.71,1.06,21.5,1946.96,2.25,225.29,10.57,"12,453.48",15.78,872.48,11.37,14.9,10.93%,1.0,11.85,15.31%,-1.06%,16.37%,1946,4.692663582286847,-12.694748990190408,-8.00208540790356
1947.12,15.03,0.84,1.61,23.4,1947.96,2.42,205.63,11.49,"11,955.16",22.03,"1,280.63",10.68,13.82,11.91%,1.0,10.97,14.28%,0.10%,14.18%,1947,5.588822355289421,-0.6609385327164707,4.927883822572951
1948.12,15.19,0.93,2.29,24.1,1948.96,2.32,201.78,12.35,"12,405.54",30.42,"1,870.22",10.16,13.07,13.10%,1.0,11.0,17.36%,-0.33%,17.69%,1948,6.122448979591837,1.0645375914837052,7.1869865710755425
1949.12,16.54,1.14,2.32,23.6,1949.96,2.32,224.37,15.46,"14,754.55",31.47,"2,069.56",10.53,13.57,12.54%,1.0,11.5,16.66%,-1.18%,17.84%,1949,6.892382103990326,8.887425938117177,15.779808042107504
1950.12,19.75,1.47,2.84,25.0,1950.96,2.55,252.91,18.82,"17,810.42",36.37,"2,561.09",11.31,14.51,12.19%,1.0,10.9,14.28%,0.31%,13.97%,1950,7.443037974683545,19.407496977025396,26.85053495170894
1951.12,23.41,1.41,2.44,26.5,1951.96,2.67,282.81,17.03,"21,304.93",29.48,"2,220.59",12.15,15.54,11.07%,1.0,10.44,15.16%,0.88%,14.28%,1951,6.023067065356685,18.53164556962026,24.554712634976944
1952.12,26.04,1.41,2.4,26.7,1952.96,2.82,312.23,16.91,"24,934.92",28.78,"2,298.15",12.93,16.58,9.59%,1.0,10.52,12.07%,1.24%,10.82%,1952,5.414746543778802,11.234515164459635,16.649261708238438
1953.12,24.83,1.45,2.51,26.9,1953.96,2.59,295.5,17.26,"24,994.22",29.87,"2,526.60",11.75,15.1,10.37%,1.01,10.95,14.12%,0.85%,13.27%,1953,5.839710028191704,-4.646697388632881,1.1930126395588232
1954.12,34.97,1.54,2.77,26.7,1954.96,2.51,419.3,18.47,"37,282.53",33.21,"2,953.18",15.79,20.26,7.96%,0.99,11.38,11.23%,0.74%,10.49%,1954,4.403774663997712,40.83769633507855,45.241470999076256
1955.12,45.37,1.64,3.62,26.8,1955.96,2.96,541.97,19.59,"50,126.23",43.24,"3,999.49",18.94,23.94,6.26%,1.01,11.21,9.07%,0.77%,8.29%,1955,3.614723385497024,29.73977695167287,33.354500337169895
1956.12,46.44,1.74,3.41,27.6,1956.96,3.59,538.67,20.18,"51,745.59",39.55,"3,799.58",17.2,21.47,4.75%,1.01,10.65,7.41%,1.27%,6.15%,1956,3.7467700258397936,2.3583865990742803,6.105156624914073
1957.12,40.33,1.79,3.37,28.4,1957.96,3.21,454.62,20.18,"45,430.71",37.99,"3,796.22",13.67,16.95,6.06%,1.01,11.08,10.58%,0.40%,10.18%,1957,4.438383337465907,-13.156761412575369,-8.718378075109463
1958.12,53.49,1.75,2.89,28.9,1958.96,3.86,592.54,19.39,"61,511.18",32.01,"3,323.37",17.36,21.4,3.73%,0.99,10.65,8.30%,0.64%,7.66%,1958,3.2716395587960365,32.63079593354823,35.90243549234427
1959.12,59.06,1.83,3.39,29.4,1959.96,4.69,643.11,19.93,"68,879.02",36.91,"3,953.60",18.62,22.59,2.90%,1.0,10.21,5.13%,-0.06%,5.18%,1959,3.0985438537080934,10.413161338567956,13.51170519227605
