Entry_Year,Balance_After_15_Years,Balance_After_20_Years,Balance_After_25_Years,Balance_After_30_Years,Has_Zero_Balance
1924,347670.17,347095.48,489722.97,929637.6,False
1925,286797.99,319521.82,424726.8,998165.61,False
1926,205868.49,329853.73,388273.08,939163.27,False
1927,165767.56,270800.79,434044.48,904289.1,False
1928,142277.07,201759.06,338940.34,525061.78,False
1929,131461.03,145112.13,207793.84,398468.77,False
1930,161317.24,184177.18,373260.69,614132.55,False
1931,278634.45,330882.08,804795.05,1078339.46,False
1932,399702.59,721537.66,1627755.78,2810229.15,False
1933,475849.08,988062.19,1777872.33,3090044.14,False
1934,338675.44,644951.53,1535956.59,2349604.82,False
1935,401191.74,983836.54,1853306.84,2923660.08,False
1936,352372.27,890953.35,1227510.5,2150197.15,False
1937,324991.32,687967.26,1132296.88,1389231.08,False
1938,527589.87,921577.65,1567980.37,2634432.41,False
1939,447990.06,1053431.49,1594667.7,2519210.69,False
1940,634856.58,1177401.52,1833008.66,2222733.0,False
1941,925377.1,1296532.2,2300523.64,2559319.87,False
1942,1075483.98,1854719.19,2365375.06,3253425.57,False
1943,854610.55,1463968.64,2472565.78,3418536.44,False
1944,922493.88,1402064.81,2221540.62,2235534.66,False
1945,879970.53,1362493.96,1643664.91,1398825.27,False
1946,644024.43,1108962.14,1198203.01,1331485.2,False
1947,903884.66,1122555.86,1505763.98,1822180.4,False
1948,781456.02,1291981.74,1749047.72,1648235.85,False
1949,885666.22,1384405.91,1372337.62,1651474.81,False
1950,888704.57,1057798.4,885514.95,1641075.39,False
1951,786201.68,840105.09,920453.77,1587169.09,False
1952,581920.07,753559.38,871917.85,1190145.77,False
1953,599837.68,775947.63,687167.25,1158297.95,False
1954,679517.12,645841.04,735145.33,1427379.17,False
1955,416471.97,320353.89,537969.77,895034.64,False
1956,319560.86,311662.07,470859.39,758930.41,False
1957,340999.13,357337.79,436227.86,901511.84,False
1958,452631.21,378298.88,602383.35,1112119.9,False
1959,280533.01,281760.06,487318.32,838516.03,False
1960,188151.27,293032.96,452764.45,971629.68,False
1961,257649.79,390085.98,629260.31,1045622.17,False
1962,243258.6,282872.6,558392.24,888017.54,False
1963,253637.05,388122.95,693360.64,1317275.37,False
1964,224897.94,386732.82,661255.48,1155237.64,False
1965,227273.83,346729.12,735601.3,992546.88,False
1966,260153.98,401774.24,644671.55,1223487.25,False
1967,276798.32,565963.85,925084.87,1833021.74,False
1968,270555.93,470454.46,874476.23,1970295.38,False
1969,288520.58,485411.39,836638.68,2158657.72,False
1970,339149.85,738278.86,1016877.76,3250038.44,False
1971,430316.84,716062.26,1398418.71,3098571.73,False
1972,468437.07,766619.19,1519521.72,2392443.62,False
1973,388927.02,723868.03,1631514.46,1559034.61,False
1974,546042.51,972831.75,2566911.53,2413841.09,False
1975,927019.0,1318852.57,4290201.66,3787468.7,False
1976,665933.31,1313116.62,2923702.3,2894627.53,False
1977,662719.17,1319141.32,2081088.24,2669860.73,False
1978,805575.44,1855192.31,1797403.23,3077021.89,False
1979,820094.43,2167365.72,2040070.53,1786512.23,False
1980,702601.12,2248026.76,1951341.06,1936695.46,False
1981,750750.93,1646137.24,1599210.56,1662097.4,False
1982,940972.51,1476032.76,1879016.09,1755806.65,False
1983,1049559.45,1000378.64,1680640.73,1704652.97,False
1984,1073366.29,984377.07,835625.33,1739043.04,False
1985,1243462.06,1055149.34,1019449.99,1919296.83,False
1986,903946.1,852095.42,853661.4,1422323.71,False
1987,640992.05,776063.05,679494.89,1220706.37,False
1988,511800.94,829735.51,799532.04,1505223.55,False
1989,527092.78,429559.91,850673.0,1210655.39,False
1990,459170.04,412541.05,717622.01,1084723.28,False
1991,501435.05,481703.93,769333.25,1369533.07,False
1992,471131.49,392979.81,675580.83,1367640.72,False
1993,435618.09,389039.38,689092.82,981502.63,False
1994,248525.67,464571.12,629034.85,1111615.81,False
1995,317621.25,546827.77,818378.84,1517903.13,False
1996,262973.3,391337.91,653866.78,1100664.21,False
1997,218754.04,349478.13,662062.88,941842.84,False
1998,194557.4,310976.17,399926.88,711095.64,False
1999,200812.51,235206.23,361210.54,564817.6,False
2000,191427.13,235953.15,364456.62,466683.58,False
2001,207090.68,313801.34,482620.04,656986.93,False
2002,263978.36,492275.05,689455.96,990098.27,False
2003,395785.92,552124.03,1051082.93,1572502.1,False
2004,319943.28,545232.32,934876.97,1385351.25,False
2005,356822.85,629198.47,914084.85,1351865.33,False
2006,393165.79,651992.09,950794.19,1410986.1,False
2007,440803.44,625786.62,908590.02,1343015.84,False
2008,354115.5,655878.27,957052.92,1421065.83,False
2009,686313.86,1220452.48,1866305.34,2885425.96,False
2010,691632.03,1032625.94,1563808.81,2398252.27,False
2011,669466.11,996927.51,1506316.14,2305659.74,False
2012,720067.69,1078421.86,1637563.62,2517035.13,False
2013,679357.54,1012857.75,1531971.95,2346978.68,False
2014,579122.01,851427.42,1271986.79,1928269.99,False
2015,551282.9,806592.26,1199779.31,1811979.12,False
2016,593920.32,875260.24,1310369.78,1990086.18,False
2017,586413.26,863170.07,1290898.45,1958727.4,False
2018,535629.64,781382.53,1159178.79,1746591.58,False
2019,598457.77,882567.86,1322138.79,2009040.28,False
2020,524244.83,763047.17,1129649.51,1699034.38,False
